;Text;Sentiment - TTB;Sentiment - TCTB;Sentiment - TVD;Sentiment - TCVD;True sentiment
834;the people who are complaining about halo graphics need 4k tvs and monitors                  ;Neutral;Neutral;Negative;Negative;Neutral
437;It was ok but Ill save my judgement until these games will be revealed looking at you fable                  ;Neutral;Negative;Positive;Positive;Positive
881;Tell me why My thoughts exactly                  ;Positive;Positive;Neutral;Neutral;Neutral
44;Nothing really interested me enough to switch back to xbox                  ;Positive;Positive;Negative;Negative;Negative
381;Well Im Soaked                  ;Neutral;Neutral;Positive;Positive;Neutral
792;Nice suicide microsoft the last one                  ;Positive;Positive;Negative;Negative;Negative
1014;I really like the look and feel of this new game it reminds me of the  first halo game                  ;Negative;Negative;Positive;Positive;Positive
716;I wonder if theres a gears of war 6 coming out soon                  ;Neutral;Neutral;Negative;Negative;Neutral
729;Can someone explain the dislikes to me                  ;Neutral;Neutral;Negative;Negative;Neutral
412;Im going to buy the weakest nextgen console Im good with that                  ;Positive;Positive;Negative;Neutral;Negative
665;all Ps fans are xbox haters because dislike  Stop Console war                  ;Neutral;Neutral;Negative;Negative;Negative
900;There are only two games I wish to play ori  stalker                  ;Neutral;Negative;Positive;Positive;Positive
1130;bro im an xbox guy but ps5 won                  ;Neutral;Neutral;Positive;Neutral;Negative
517;I miss being excited for destiny but now Im completely done with the series its never been as good as it was with taken king                  ;Positive;Negative;Negative;Negative;Negative
1139;I never cared about xbox but Im here to see what theyre offering                  ;Neutral;Neutral;Negative;Negative;Positive
569;Ps5 has won                  ;Neutral;Neutral;Positive;Neutral;Neutral
540;Jack black                  ;Negative;Negative;Neutral;Neutral;Neutral
536;90 indies games which I will never ever play                  ;Neutral;Negative;Negative;Negative;Negative
101;This looks so much better than the stream but the idiots wont even see how good it looks becausewell their idiots                  ;Negative;Negative;Positive;Negative;Positive
19;Why are there 40 likes but 11 views                  ;Neutral;Neutral;Positive;Positive;Neutral
327;why does halo look like an xbox 360 game                  ;Negative;Negative;Positive;Positive;Negative
656;Thank you for selling me on the PS5  Dont think that was your intention but hey now I know which system to buy                  ;Neutral;Neutral;Positive;Positive;Negative
193;I am already shaking in excitement                  ;Neutral;Neutral;Positive;Positive;Positive
987;Xbox Game Pass thank you very much Illpass I prefer actually owning my games                  ;Negative;Negative;Positive;Positive;Negative
390;This console aint it anymore Even after 15 years of loyalty                  ;Neutral;Neutral;Positive;Positive;Negative
1099;Thank you for using Persian language                  ;Neutral;Neutral;Positive;Positive;Positive
444;Only actual game play was halo right                   ;Negative;Negative;Positive;Positive;Neutral
451;Why do the effects in halo sound so light Wheres the density the punch                  ;Positive;Positive;Neutral;Neutral;Negative
251;What about the new Kinect                  ;Positive;Positive;Neutral;Neutral;Neutral
963;Its sad seeing these halo graphics but at least theres a pug voice actor in the credits                  ;Negative;Negative;Positive;Negative;Negative
853;Are most of the games coming to Xbox pass on PC or just MS titles                  ;Positive;Negative;Neutral;Neutral;Neutral
752;Xbox  Unseasoned Chicken                  ;Negative;Negative;Neutral;Neutral;Neutral
1076;Delayed NEXT                  ;Neutral;Neutral;Negative;Negative;Neutral
650;State of Decay 3 whaaaaaaaaaaaaaaaaat                  ;Neutral;Neutral;Negative;Negative;Neutral
1066;Phil Spencers initials are PS I dont trust him                  ;Neutral;Neutral;Negative;Negative;Negative
641;Yeah thats 13TF for u smh                  ;Neutral;Neutral;Negative;Negative;Neutral
223;Omg my eyes deceive me                  ;Neutral;Neutral;Negative;Negative;Negative
127;Well sht massive forza fan but that trailer was dead ps5 winning on games i think                  ;Positive;Positive;Negative;Positive;Negative
607;I wish halo didnt look so animated                  ;Neutral;Neutral;Positive;Positive;Negative
621;The halo graphics dont look that good Cartooney                  ;Positive;Positive;Negative;Negative;Negative
848;       Cyberpunk 2077 confirmed for gamepass                  ;Positive;Neutral;Neutral;Neutral;Neutral
178;After watching this Im buying the PS5 for sure Im a long time Xbox fan but not anymore I had low expectations for this event but MS still managed to disappoint me                  ;Positive;Positive;Negative;Negative;Negative
455;Not as impressive graphics as I expected                  ;Positive;Positive;Negative;Positive;Negative
636;Ps5 won                  ;Neutral;Neutral;Positive;Neutral;Neutral
189;Bon Fable et cest tout                  ;Neutral;Neutral;Negative;Negative;Neutral
1078;The dislikes are by sonyboys and ps5 fans                  ;Neutral;Neutral;Negative;Negative;Neutral
336;Very woke with the protagonists in every game                  ;Negative;Negative;Neutral;Neutral;Neutral
1100;Thank you for using Persian                   ;Neutral;Neutral;Positive;Positive;Positive
229;its 2020 and people still do console wars lol                  ;Positive;Positive;Negative;Negative;Neutral
73;Meh                  ;Neutral;Neutral;Negative;Negative;Negative
316;WARNING  Salt people in this comment section                  ;Neutral;Neutral;Negative;Negative;Neutral
364;Xbox just won                  ;Neutral;Neutral;Positive;Neutral;Positive
28;Once more Xbox annihilates the piss station again and again                  ;Positive;Neutral;Negative;Negative;Negative
298;Xbox definitely overhyped this event                  ;Neutral;Neutral;Positive;Positive;Negative
321;Did you guys just put up Xbox 360 launch video by mistake                  ;Neutral;Neutral;Negative;Negative;Negative
1017;support the 219 ultrawide screen option                  ;Neutral;Neutral;Positive;Positive;Positive
1005; says 22 titles show but I count 21  1 halo infinite 2 state of decay 3 3 fable 4 forza 5 avowed 6 as dusk falls 7 tell me why 8 everwild 9 the medium 10 outer worlds 11 stalker 2 12 psychonauts 2 13 grounded 14 destiny 2 beyond light 15 the gunk 16 cro sfire x 17 tetris effect conne te 18 p o 2  ew ge esis 19 w rh mme  k darkti e 20 ori 1 he lbl de 2 who 22;Positive;Positive;Negative;Negative;Neutral
644;Every single time I see the Avowed trailer I get Lord of the rings feels                  ;Negative;Negative;Neutral;Neutral;Neutral
